age,total,party_cdu,party_die_linke,party_spu,party_grüne,party_afd,party_fdp,others
18 bis unter 25,100,11.0,12.1,21.5,26.3,2.6,15.8,10.8
25 bis unter 35,100,9.7,12.0,21.3,28.2,5.0,12.6,11.2
35 bis unter 45,100,16.6,9.1,22.0,27.1,7.9,9.0,8.3
45 bis unter 60,100,25.0,5.4,24.1,19.3,10.5,9.1,6.6
60 bis unter 70,100,26.2,5.3,30.9,15.2,11.2,7.5,3.8
70 und älter,100,40.3,3.3,34.4,8.5,7.0,4.5,2.2
Insgesamt,100,23.1,7.2,26.1,20.0,7.9,9.1,6.7
