age,2021_total,2021_male,2021_female,2017_total,2017_male,2017_female,comparison_total,comparison_male,comparison_female
18 bis unter 21,25.5,22,28.7,17.7,16,19.5,7.8,6,9.2
21 bis unter 25,34.3,28.9,39.5,20.1,17.8,22,14.2,11.1,17.5
25 bis unter 30,42.5,37.8,46.6,24.5,21.3,27.6,18,16.5,19
30 bis unter 35,42.5,39.4,45.3,24.6,22.1,27.1,17.9,17.3,18.2
35 bis unter 40,39.9,37.6,42.3,23,20.6,25.6,16.9,17,16.7
40 bis unter 45,39.1,36.5,41.8,23.9,21.7,26.1,15.2,14.8,15.7
45 bis unter 50,36.3,33.8,38.8,24,22.4,25.8,12.3,11.4,13
50 bis unter 60,38.6,36,41.3,26.4,24.5,28.3,12.2,11.5,13
60 bis unter 70,38.5,36.8,40,29.2,28.7,29.7,9.3,8.1,10.3
70 und älter,38,38.1,38,28.7,29.5,28.1,9.3,8.6,9.9
