age,berlin_total,berlin_male,berlin_female,berlin_east_total,berlin_east_male,berlin_east_female,berlin_west_total,berlin_west_male,berlin_west_female
18 bis unter 25,0.9,0.6,1.2,1.5,0.4,2.6,0.6,0.7,0.4
25 bis unter 35,0.9,0.9,0.8,0.7,0.6,0.8,1.0,1.2,0.8
35 bis unter 45,1.1,1.2,1.0,1.0,0.9,1.2,1.2,1.5,0.9
45 bis unter 60,1.1,1.1,1.1,0.9,1.1,0.7,1.3,1.2,1.4
60 bis unter 70,1.7,1.8,1.6,1.6,1.6,1.6,1.7,2.0,1.5
70 und älter,3.6,3.0,4.0,3.3,2.8,3.7,3.7,3.2,4.2
Insgesamt,1.6,1.5,1.7,1.5,1.3,1.7,1.8,1.7,1.8
