age,total,party_cdu,party_die_linke,party_spu,party_grüne,party_afd,party_fdp,others
18 bis unter 25,8.5,4,14.1,7,11.2,2.8,14.7,13.6
25 bis unter 35,16,6.7,26.6,13.1,22.6,10.1,22.1,26.7
35 bis unter 45,17.1,12.3,21.5,14.4,23.2,17,16.9,21
45 bis unter 60,24.6,26.6,18.3,22.7,23.8,32.6,24.8,24.1
60 bis unter 70,14.5,16.4,10.7,17.1,11,20.4,11.9,8.2
70 und älter,19.4,33.9,8.8,25.7,8.2,17.1,9.6,6.3
Insgesamt,100,100,100,100,100,100,100,100
