age,total,party_cdu,party_die_linke,party_spu,party_grüne,party_afd,party_fdp,others
18 bis unter 25,7.3,2.6,9.8,4,10.7,4,8.3,12.8
25 bis unter 35,15.2,6.3,17.8,8.7,25.2,8.1,15.7,21.9
35 bis unter 45,16.4,12.5,14,12.2,23.1,18,15.7,19.3
45 bis unter 60,25.3,23.1,20.3,24.5,26.2,35.1,29,25.2
60 bis unter 70,14.4,17.9,16.3,18.5,8.3,17.8,13.5,9.9
70 und älter,21.5,37.6,21.8,32.1,6.6,17,17.8,10.9
Insgesamt,100,100,100,100,100,100,100,100
