age,total,party_cdu,party_die_linke,party_spu,party_grüne,party_afd,party_fdp,others
18 bis unter 25,100,7.6,18.2,15.7,34,3,9.6,11.9
25 bis unter 35,100,8.7,16,15.4,37.7,3.4,7,11.9
35 bis unter 45,100,14.5,12.2,19.4,30.5,6.2,6.2,11
45 bis unter 60,100,17.4,12,22.5,23.6,8.3,6.7,9.4
60 bis unter 70,100,23.2,16.7,27.7,13.3,7.6,5.2,6.3
70 und älter,100,31.4,14.4,33.9,6.7,4.8,4.6,4.2
Insgesamt,100,18.7,14.3,23.6,22.5,6,6.2,8.7
