age,total,party_cdu,party_die_linke,party_spu,party_grüne,party_afd,party_fdp,others
18 bis unter 25,100,4,19.4,12.3,32.5,5.8,10,16
25 bis unter 35,100,6.3,15.1,13.2,36.2,5.1,9.3,14.8
35 bis unter 45,100,9.8,12.2,15.1,32.3,10.2,8.7,11.7
45 bis unter 60,100,11.5,13.4,20.5,21.8,15.2,7.9,9.7
60 bis unter 70,100,15,21.2,28.6,8.2,14.9,6,6
70 und älter,100,17.4,25.1,35.9,4.4,8.4,3.9,4.9
Insgesamt,100,11.5,17,21.7,21.7,10.9,7.4,9.9
