age,total,party_cdu,party_die_linke,party_spu,party_grüne,party_afd,party_fdp,others
18 bis unter 25,100,6.7,13.2,13.7,35.8,2.6,10.2,17.9
25 bis unter 35,100,7.4,13.1,14.6,38.7,2.6,8.4,15.1
35 bis unter 45,100,14.5,6.9,21.4,32.1,5.2,7.8,12.1
45 bis unter 60,100,17.7,5.6,24.5,25.7,7.2,10.4,9.0
60 bis unter 70,100,23.8,5.1,32.0,18.1,6.5,8.1,6.5
70 und älter,100,35.0,2.9,36.4,9.2,4.3,7.7,4.5
Insgesamt,100,19.6,6.8,25.5,24.5,5.1,8.8,9.7
