age,2021_total,2021_male,2021_female,2017_total,2017_male,2017_female,comparison_total,comparison_male,comparison_female
18 bis unter 25,28.9,26.6,31.2,16.2,11.7,20.3,12.7,14.9,10.9
25 bis unter 35,33.9,28.6,38.6,16.5,13.8,18.9,17.4,14.8,19.7
35 bis unter 45,28.7,25.7,31.6,15.9,12.9,19,12.8,12.8,12.6
45 bis unter 60,19.7,17.9,21.5,9.9,9,10.8,9.8,8.9,10.7
60 bis unter 70,7.2,7.1,7.3,3.6,2.9,4.2,3.6,4.2,3.1
70 und älter,3.6,3.1,3.9,2.2,1.7,2.6,1.4,1.4,1.3
Insgesamt,19.6,17.8,21.2,10.2,8.7,11.6,9.4,9.1,9.6
