age,2021_total,2021_male,2021_female,2017_total,2017_male,2017_female,comparison_total,comparison_male,comparison_female
18 bis unter 25,17,18.4,15.7,21.2,22.6,20,-4.2,-4.2,-4.3
25 bis unter 35,16.4,17.5,15.4,19.3,19.3,19.3,-2.9,-1.8,-3.9
35 bis unter 45,18.8,18.2,19.4,19.4,19,19.7,-0.6,-0.8,-0.3
45 bis unter 60,21.3,20.1,22.5,19.5,19.6,19.5,1.8,0.5,3
60 bis unter 70,27,26.2,27.7,22.2,21.9,22.4,4.8,4.3,5.3
70 und älter,32.8,31.3,33.9,24.8,24.9,24.8,8,6.4,9.1
Insgesamt,22.9,22,23.6,21,20.9,21.1,1.9,1.1,2.5
