age,2021_total,2021_male,2021_female,2017_total,2017_male,2017_female,comparison_total,comparison_male,comparison_female
18 bis unter 25,5.7,7.1,4.3,7.3,9.5,5.4,-1.6,-2.4,-1.1
25 bis unter 35,5.2,5.9,4.6,10.9,13.5,8.6,-5.7,-7.6,-4.0
35 bis unter 45,9.7,11.6,7.8,13.8,16.7,10.9,-4.1,-5.1,-3.1
45 bis unter 60,14.5,18.0,10.6,19.0,24.0,14.0,-4.5,-6.0,-3.4
60 bis unter 70,14,19.5,9.1,15.8,19.7,12.4,-1.8,-0.2,-3.3
70 und älter,8.3,10.7,6.6,9.6,12.7,7.3,-1.3,-2.0,-0.7
Insgesamt,10.5,13.3,7.8,13.9,17.7,10.5,-3.4,-4.4,-2.7
