age,total,party_cdu,party_die_linke,party_spu,party_grüne,party_afd,party_fdp,others
18 bis unter 25,7.3,3,9.2,4.8,11,3.7,11.2,10
25 bis unter 35,15.2,7.1,17.1,9.9,25.4,8.6,17,20.9
35 bis unter 45,16.5,12.8,14.1,13.5,22.3,17.1,16.5,20.9
45 bis unter 60,25.3,23.5,21.3,24.1,26.4,35.2,27.4,27.4
60 bis unter 70,14.3,17.8,16.7,16.8,8.4,18.3,12.1,10.4
70 und älter,21.4,35.9,21.6,30.8,6.4,17.1,15.9,10.5
Insgesamt,100,100,100,100,100,100,100,100
