age,total,party_cdu,party_die_linke,party_spu,party_grüne,party_afd,party_fdp,others
18 bis unter 25,100,9.8,13.4,19.8,31.2,2.5,12.8,10.6
25 bis unter 35,100,9.7,13.1,19.5,32.7,3.7,10.1,11.2
35 bis unter 45,100,16.8,8.1,23.2,28.2,6.3,7.8,9.6
45 bis unter 60,100,22.9,5.7,24.6,22.4,8.4,8.3,7.7
60 bis unter 70,100,26.2,5.2,31.3,16.7,8.7,6.8,5.1
70 und älter,100,38.9,2.8,36.3,8.5,5.0,5.2,3.3
Insgesamt,100,22.7,7.2,26.6,21.9,6.2,8.0,7.5
