address,vote_type,district_id,district_name,electoral_district_id,electoral_district_type,postal_voting_district_id,electoral_district_berlin_election_id,electoral_district_federal_election_id,berlin_east_west,eligible_voters,eligible_voters_a1,eligible_voters_a2,eligible_voters_a3,voters,voters_b1,valid_votes,invalid_votes,party_cdu,party_die_linke,party_spd,party_grüne,party_afd,party_fdp,party_die_partei,party_tierschutzpartei,party_piraten,party_die_grauen,party_freie_wähler,party_verjüngungsforschung,party_ödp,party_du,party_v_partei3,party_dkp,party_mlpd,party_büso,party_sgp,party_wir_bürger,party_heimat,party_die_humanisten,party_team_todenhöfer,party_volt,party_die_basis,party_b,others,party_bündnis_21,other_applicant_1,other_applicant_2,other_applicant_3,other_applicant_meschliche_welt,other_applicant_4,other_applicant_5,other_applicant_6,other_applicant_7,other_applicant_8,other_applicant_9,aufn,partial_election_repetition
01W120,Erststimme,01,Mitte,120,W,011K,1,75,O,1057,570,487,0,450,12,444,6,36,69,72,168,29,35,10,2,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,12,7,0,0,0,0,0,0,0,0,0,0,0,0,0,,
01W121,Erststimme,01,Mitte,121,W,011L,1,75,O,1079,531,548,0,428,11,424,4,56,41,86,154,15,40,10,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,
01W122,Erststimme,01,Mitte,122,W,011M,1,75,O,1168,578,590,0,485,23,484,1,67,79,83,180,11,36,10,5,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,,
01W123,Erststimme,01,Mitte,123,W,011M,1,75,O,976,529,447,0,427,13,426,1,57,47,74,174,9,44,4,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,,
01W124,Erststimme,01,Mitte,124,W,011A,1,75,W,1248,973,275,0,293,6,291,2,53,28,61,84,32,6,7,8,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,3,0,,Teilwiederholungswahl 2024
01W125,Erststimme,01,Mitte,125,W,011C,1,75,O,1540,781,759,0,561,24,553,8,67,56,103,199,24,53,17,7,4,0,0,0,1,0,0,0,1,0,0,0,0,5,0,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,,
01W200,Erststimme,01,Mitte,200,W,012A,2,75,O,876,525,351,0,344,7,334,10,70,51,73,40,36,46,7,4,2,0,0,0,0,0,0,0,2,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
01W201,Erststimme,01,Mitte,201,W,012A,2,75,O,1232,687,545,0,466,6,456,10,91,60,94,86,43,61,9,3,2,0,0,0,1,0,0,0,1,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,,
01W202,Erststimme,01,Mitte,202,W,012B,2,75,O,1187,651,536,0,436,13,423,13,91,63,97,59,53,44,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,
01W203,Erststimme,01,Mitte,203,W,012B,2,75,O,1566,792,774,0,509,15,495,14,105,63,118,84,44,51,8,4,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,7,0,0,0,0,0,0,0,0,0,0,2,1,0,,
