age,2021_total,2021_male,2021_female,2017_total,2017_male,2017_female,comparison_total,comparison_male,comparison_female
18 bis unter 25,12.3,11.4,13.2,19.1,17.1,21.0,-6.8,-5.7,-7.8
25 bis unter 35,12.2,11.4,13.1,21.7,21.8,21.6,-9.5,-10.4,-8.5
35 bis unter 45,8.0,9.0,6.9,15.7,17.6,13.9,-7.7,-8.6,-7.0
45 bis unter 60,5.6,5.7,5.6,12.8,13.0,12.5,-7.2,-7.3,-6.9
60 bis unter 70,5.6,6.3,5.1,13.3,14.3,12.5,-7.7,-8.0,-7.4
70 und älter,3.2,3.5,2.9,5.6,6.8,4.7,-2.4,-3.3,-1.8
Insgesamt,7.1,7.3,6.8,13.5,14.3,12.8,-6.4,-7.0,-6.0
