feature,year_1990,year_1994,year_1998,year_2002,year_2005,year_2009,year_2013,year_2017,year_2021
Gültige Zweitstimmen,100,100,100,100,100,100,100,100,100
CDU,39.4,31.4,23.7,25.9,22,22.8,28.5,22.7,17.2
DIE LINKE²,9.7,14.8,13.4,11.4,16.4,20.2,18.5,18.8,11.5
SPD,30.6,34,37.8,36.6,34.3,20.2,24.6,17.9,22.2
GRÜNE³,7.2,10.2,11.3,14.6,13.7,17.4,12.3,12.6,22
AfD⁴,x,x,x,x,x,x,x,12,9.4
FDP,9.1,5.2,4.9,6.6,8.2,11.5,3.6,8.9,8.1
Sonstige,3.9,4.4,8.8,4.9,5.4,7.9,12.6,7.1,9.4
