electoral_district_id,electoral_district_name,total,in_sgb_II_communities_of_need,in_sgb_II_communities_of_need_percentage
75,Berlin-Mitte,345328,62312,18
76,Berlin-Pankow,293039,22338,7.6
77,Berlin-Reinickendorf,206271,38133,18.5
78,Berlin-Spandau –Charlottenburg Nord,228934,46779,20.4
79,Berlin-Steglitz-Zehlendorf,231932,17409,7.5
80,Berlin-Charlottenburg-Wilmersdorf,234493,21946,9.4
81,Berlin-Tempelhof-Schöneberg,279539,40867,14.6
82,Berlin-Neukölln,272038,57836,21.3
83,Berlin-Friedrichshain-Kreuzberg –Prenzlauer Berg Ost,328185,43642,13.3
84,Berlin-Treptow-Köpenick,229235,26375,11.5
85,Berlin-Marzahn-Hellersdorf,224341,36396,16.2
86,Berlin-Lichtenberg,249997,38981,15.6
