id,district_id,eligible_voters,eligible_voters_a1,eligible_voters_a2,eligible_voters_a3,voters,voters_b1,invalid_votes,valid_votes,voter_turnout,invalid_votes_percentage,valid_votes_percentage,party_cdu,party_spd,party_die_linke,party_grüne,party_afd,party_piraten,party_fdp,party_die_partei,party_freie_wähler,party_ödp,party_büso,party_mlpd,party_sgp,party_b,party_bge,party_dib,party_dkp,party_dm,party_die_grauen,party_du,party_menschliche_welt,party_gesundheitsforschung,party_tierschutzpartei,party_v_partei3,party_die_frauen,individual_applicant_für_dich_im_bundestag,individual_applicant_grog,individual_applicant_grundeinkommen_für_alle.org_1,individual_applicant_grundeinkommen_für_alle.org_2,individual_applicant_ideengeber_mensch_natur_technik,individual_applicant_liberal_nachhaltig_sozial_weltoffen,individual_applicant_den_menschen_verpflichtet_keiner_partei,party_mieterpartei,party_npd,individual_applicant,individual_applicant_parteifrei_für_die_menschen,individual_applicant_parteifrei_und_bürgerbestimmt,party_cdu_percentage,party_spd_percentage,party_die_linke_percentage,party_grüne_percentage,party_afd_percentage,party_piraten_percentage,party_fdp_percentage,party_die_partei_percentage,party_freie_wähler_percentage,party_ödp_percentage,party_büso_percentage,party_mlpd_percentage,party_sgp_percentage,party_b_percentage,party_bge_percentage,party_dib_percentage,party_dkp_percentage,party_dm_percentage,party_die_grauen_percentage,party_du_percentage,party_menschliche_welt_percentage,party_gesundheitsforschung_percentage,party_tierschutzpartei_percentage,party_v_partei3_percentage,party_die_frauen_percentage,individual_applicant_für_dich_im_bundestag_percentage,individual_applicant_grog_percentage,individual_applicant_grundeinkommen_für_alle.org_1_percentage,individual_applicant_grundeinkommen_für_alle.org_2_percentage,individual_applicant_ideengeber_mensch_natur_technik_percentage,individual_applicant_liberal_nachhaltig_sozial_weltoffen_percentage,individual_applicant_den_menschen_verpflichtet_keiner_partei_percentage,party_mieterpartei_percentage,party_npd_percentage,individual_applicant_percentage,individual_applicant_parteifrei_für_die_menschen_percentage,individual_applicant_parteifrei_und_bürgerbestimmt_percentage
226,01,206706,150774,55932,0,151412,52012,2341,149071,73.24992985206042,1.5461125934536233,98.45388740654639,27654,35036,30492,26781,11782,0,9017,5342,648,715,203,360,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,766,0,0,0,0,0,0,0,0,0,18.550891856900403,23.502894593851252,20.45468266799042,17.965264873784974,7.903616397555527,0.0,6.0487955403800875,3.5835273124886795,0.434692193652689,0.4796372198482602,0.13617672115971585,0.2414956631403828,0.1844758537877924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5138491054598144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
368,02,172386,123221,49164,1,133173,45533,1435,131738,77.25279315025581,1.0775457487628874,98.92245425123711,14850,21845,32212,37479,6950,0,3865,10168,460,0,0,245,0,583,0,0,0,0,0,621,0,0,0,0,0,0,124,0,1023,544,116,291,0,0,28,334,0,11.272373954363966,16.58215549044315,24.45156295070519,28.44965006300384,5.275622827126569,0.0,2.933853557819308,7.718350058449347,0.34917791373787366,0.0,0.0,0.18597519318647618,0.0,0.44254505154169643,0.0,0.0,0.0,0.0,0.0,0.47139018354612944,0.0,0.0,0.0,0.0,0.0,0.0,0.09412622022499202,0.0,0.7765413168561842,0.4129408371160941,0.0880535608556377,0.22089298456026354,0.0,0.0,0.021254307792740137,0.253533528670543,0.0
822,03,288112,206552,81560,0,228615,76361,2691,225924,79.34935025267951,1.177088117577587,98.82291188242242,42534,37692,64006,33952,26095,0,9288,7987,1506,950,451,60,0,89,0,0,0,0,0,151,0,0,0,0,0,454,44,0,275,144,32,100,0,0,5,109,0,18.826685079938386,16.68348648217985,28.330766098333953,15.02806253430357,11.550344363591297,0.0,4.111117012800765,3.5352596448363167,0.6665958463908217,0.42049538782953555,0.19962465253802164,0.026557603441865408,0.0,0.03939377843876702,0.0,0.0,0.0,0.0,0.0,0.0668366353286946,0.0,0.0,0.0,0.0,0.0,0.2009525327101149,0.019475575857367963,0.0,0.12172234910854977,0.06373824826047697,0.014164055168994882,0.04426267240310901,0.0,0.0,0.002213133620155451,0.04824631291938882,0.0
916,04,220328,150226,70102,0,173125,65376,2214,170911,78.57603209759995,1.2788447653429604,98.72115523465705,50826,47579,16233,22837,13565,0,15476,3781,0,122,443,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.738284838307656,27.83846563416047,9.49792582104136,13.361925212537521,7.9368794284744695,0.0,9.055005236643634,2.212262522599482,0.0,0.07138218136925066,0.25919923234900033,0.02866989251715805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
950,05,162952,124566,38380,6,117918,36109,2141,115777,72.36364082674652,1.815668515409013,98.184331484591,36623,37509,8373,6480,15708,0,7242,2735,0,876,0,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.632362213565735,32.39762647157898,7.232006357048464,5.596966582309094,13.567461585634453,0.0,6.255128393376923,2.362299938675212,0.0,0.7566269639047479,0.0,0.19952149390638899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1134,06,221210,143335,77874,1,180720,73401,2347,178373,81.6961258532616,1.2986941124391325,98.70130588756086,63085,43801,13392,22712,14549,0,16159,3681,0,0,555,0,0,0,0,0,0,0,0,0,0,0,0,0,439,0,0,0,0,0,0,0,0,0,0,0,0,35.36689969894547,24.555846456582557,7.507862737073435,12.732868763770302,8.156503506696641,0.0,9.059106479119599,2.0636531313595667,0.0,0.0,0.31114574515201293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24611348130042102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1309,07,235250,163048,72202,0,181159,67788,2493,178666,77.00701381509033,1.376139192642927,98.62386080735708,51708,39380,19356,33763,16188,1691,11362,3852,0,0,403,0,197,0,0,0,0,0,0,0,766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.941152765495392,22.04112701913067,10.833622513516842,18.897272004746284,9.060481568961078,0.9464587554431173,6.359352087134654,2.1559781939484846,0.0,0.0,0.22556054313635499,0.0,0.11026160545375169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4287329430333695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1560,08,202618,149423,53193,2,143553,48862,2448,141105,70.84908547118222,1.7052935152870368,98.29470648471298,34593,37777,23204,15480,15105,0,7255,5048,0,0,260,294,0,0,0,0,0,0,1191,0,0,0,0,0,0,0,0,0,0,0,0,0,636,262,0,0,0,24.515786116721593,26.77226179086496,16.444491690585025,10.970553842882959,10.704794302115445,0.0,5.141561248715496,3.577477764785089,0.0,0.0,0.18425994826547606,0.20835547996173065,0.0,0.0,0.0,0.0,0.0,0.0,0.8440523014776231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.450728181141703,0.1856773324829028,0.0,0.0,0.0
1350,09,205106,152759,52346,1,157111,48331,1919,155192,76.5999044396556,1.2214294352400532,98.77857056475995,29384,21379,61881,7755,23245,0,5831,3521,1096,0,318,322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,460,0,0,0,18.933965668333418,13.775838960771175,39.87383370276819,4.997035929687097,14.97822052683128,0.0,3.7572813031599566,2.2688025155935874,0.7062219702046497,0.0,0.2049074694571885,0.2074849219031909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2964070312902727,0.0,0.0,0.0
1830,10,200704,159557,41147,0,138992,38208,2207,136785,69.25223214285714,1.5878611718660067,98.41213882813399,30480,17172,46782,4440,28167,0,4852,0,2010,0,0,0,0,0,0,0,0,0,1470,0,0,0,0,0,0,0,0,0,0,0,0,0,716,696,0,0,0,22.283145081697555,12.554008114924883,34.20111854369996,3.2459699528457064,20.59217019410023,0.0,3.54717257009175,0.0,1.4694593705450159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0746792411448622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5234492086120555,0.5088277223379757,0.0,0.0,0.0
